id;id_planilla;id_subplanilla;id_concepto;formula_for;estado;orden
1;1;99;27;Round(($00100/30) * $00700,2);;
2;1;99;18;round($00101  * 0.13,2);;
3;1;101;18;round($00101 * 0.13,2);;
4;1;101;41;DECODE($00717,1,0,ROUND($00101*0.08,2)+$00286*0.08);;
5;1;101;29;DECODE (TRUNC ($00101/750),0, 67.50, DECODE(TRUNC ($00101/1155.00), 0, ROUND ($00101 * 0.09, 2),103.95));;
6;1;1;27;Round(($00100/30) * $00700,2);;
7;1;1;29;round(4200 * 0.09, 2);;
8;1;1;18;round($00101  * 0.13,2);;
9;1;2;18;round(($00293+$00152+$00181+$00182+$00202)*0.13,2);;
10;1;2;41;round(($00293+$00152+$00181+$00182+$00202)*0.08,2);;
11;1;102;37;(Round(($00100/30) * $00296,2));;
12;1;2;76;(Round(($00100/30) * $00703,2));;
13;1;2;67;(Round(((($00100)/30)/480) * $00704,2));;
14;1;101;27;Round(($00100/30) * $00700,2);;
15;1;1;41;DECODE($00717,1,0,ROUND($00101*0.08,2)+$00286*0.08+$00203*0.08+$00181*0.08);;
16;1;1;30;;;
17;1;2;27;Round(($00100/30) * $00700,2);;
18;1;2;29;DECODE (TRUNC (($00293+$00152)/930),0, 83.7, DECODE(TRUNC (($00293+$00152)/1185.00), 0, ROUND (($00293+$00152) * 0.09, 2),174.15));;
19;1;102;67;(Round(((($00100)/30)/480) * $00704,2));;
20;1;102;6;DECODE($00717,1,$00286,ROUND($00286*1,2));;
21;1;100;6;DECODE($00717,1,$00286,ROUND($00286*1,2));;
22;1;100;4;DECODE($00717,1,$00286,ROUND($00286*0.9,2));;
23;1;100;27;Round(($00100/30) * $00700,2);;
24;1;100;25;Round((55 / 30) * $00700,2);;
25;1;100;18;round((($00101  * 0.13)+($00203  * 0.13)),2);;
26;1;100;41;DECODE($00717,1,0,ROUND($00101*0.08,2)+$00286*0.08+$00203*0.08);;
27;1;100;29;DECODE (TRUNC ($00101/750),0, 67.50, DECODE(TRUNC ($00101/1155.00), 0, ROUND ($00101 * 0.09, 2),103.95));;
28;1;102;4;DECODE($00717,1,$00286,ROUND($00286*0.9,2));;
29;1;102;27;round((($00100 + ($00100 * 0.10)) * 0.09), 2);;
30;1;102;25;Round((55 / 30) * $00700,2);;
31;1;102;18;round(($00101+$00181+$00182)  * 0.13,2);;
32;1;102;41;DECODE($00717,1,0,ROUND($00101*0.08,2)+$00286*0.08+$00203*0.08+$00181*0.08+$00182*0.08);;
33;1;102;29;DECODE (TRUNC (($00101+$00181)/850),0, 76.50, DECODE(TRUNC (($00101+$00181)/1185.00), 0, ROUND (($00101+$00181) * 0.09, 2),106.65));;
34;1;99;41;DECODE($00717,1,0,ROUND($00101*0.08,2)+$00286*0.08+$00203*0.08);;
35;1;99;29;DECODE (TRUNC ($00101/750),0, 67.50, DECODE(TRUNC ($00101/1185.00), 0, ROUND ($00101 * 0.09, 2),106.65));;
36;1;99;30;;;
37;1;102;76;(Round(($00100/30) * $00703,2));;
38;1;99;76;(Round(($00100/30) * $00703,2));;
39;1;3;12;Round(($00100/30)*$00719,2);;0
40;1;3;18;(($00101+$00181+$00182+$00203+$00183)-$00424)*0.13;;0
41;1;3;29;round((($00100 + ($00100 * 0.10)) * 0.09), 2);;0
42;1;3;67;(Round(((($00100)/30)/480) * $00704,2));;0
43;1;3;76;(Round((($00100/30)+(($00100/30)/30)) * $00703,2));;0
44;1;2;34;round(($00100/360)* $00714,2);;
45;1;3;69;Round($00100 *0.10,2);;0
46;1;3;80;Round($00101 *0.10,2);;0
47;1;3;27;round($00100,2);;0
48;1;3;41;Round((($00101+$00181+$00182+$00203+$00286+$00183)-$00424)*0.08,2);;0
49;1;5;27;Round(($00100/30) * $00700,2);;
50;1;5;76;(Round(($00100/30) * $00703,2));;
51;1;5;67;(Round(((($00100)/30)/480) * $00704,2));;
52;1;5;34;round(($00100/360)* $00714,2);;
53;1;5;18;round(($00293+$00181+$00182+$00202)*0.13,2);;
54;1;5;41;round(($00293+$00181+$00182+$00202)*0.08,2);;
55;1;5;29;DECODE (TRUNC ($00293/850),0, 67.50, DECODE(TRUNC ($00293/1185.00), 0, ROUND ($00293 * 0.09, 2),113.4));;
56;1;2;59;round(($00100/360)* $00712,2);;
57;1;3;25;Round($00100 * 0.10,2);;0
58;1;3;83;Round($00100+$00105+$00106-$00182,2);;100
59;1;3;22;(Round((($00100/30)+(($00100/30)/30))*$00703,2));;0
60;1;3;84;Round((($00100+$00105)/30)*$00720,2);;0
61;1;3;14;Round($00100,2);;0
62;1;3;86;Round($00901*1.49,2);;0
63;1;3;53;Round($00902 * 0.10,2);;101
64;1;3;54;Round($00902* 0.0174,2);;102
65;1;3;5;Round($00902 * 0.0028,2);;103
