codi_prof_tpr;nomb_prof_tpr
140;ARQUITECTO
152;ING. MECANICO
153;TECNICA EN SECRETARIADO
160;ING. ELECTRONICO
161;NUTRICIONISTA
163;ESTUDIANTE UNIVERSITARIO DE ADMINISTRACION
164;EGRESADO DE INGENIERIA INFORMATICA
165;BACHILLER EN INGENIERIA EMPRESARIAL Y DE SISTEMAS
166;BACHILLER EN GEOGRAFIA
172;BACHILLER EN CIENCIAS DE LA COMUNICACION
174;BACHILLER EN CONTABILIDAD
175;BACHILLER EN INGENIERIA ELECTRONICA
178;BACHILLER EN LETRAS
179;LICENCIADO EN PSICOLOGIA
118;MOTORIZADO
128;ADMINISTRADOR DE EMPRESA
129;BACHILLER
131;CONTADOR
143;LICENCIADO EN CONTABILIDAD
147;BACHILLER EN ECONOMIA
150;LICENCIADO EN RELACIONES PUBLICAS Y COMUNICACIONES
154;BACHILLER EN ARQUITECTURA
157;MEDICO VETERINARIO
158;LICENCIADA EN EQUIPOS BIOMEDICOS
162;BACHILLER EN INGENIERIA DE SISTEMAS
120;ECONOMISTA
124;EGRESADO
125;INGENIERO INFORMATICO
130;TECNICO EN COMERCIO EXTERIOR
133;LICENCIADO EN ADMINISTRACION
135;MAESTRIA EN GESTION PUBLICA
137;MAESTRIA EN ADMINISTRACION
138;TECNICO EN ADMINISTRACION BANCARIA
141;MEDICO CIRUJANO
145;BACHILLER EN ADMINISTRACION
148;TECNICO EN COMPUTACION
113;ESPECIALISTA EN AUTOCAD
002;ACUACULTURA
003;AGRONOMIA
004;ANTROPOLOGIA
005;ARQUEOLOGIA
006;ARQUITECTURA
007;ARTE
008;BIBLIOTECOLOGIA Y CIENCIAS DE LA INF.
009;BIOLOGO
010;BIOLOGIA PESQUERA
011;BROMATOLOGIA Y NUTRICION
012;CIENCIAS DE LA COMUNICACION
013;CIENCIAS AGROPECUARIAS
014;COMPUTACION
016;COOPERATIVISMO
017;ABOGADO
018;ECONOMIA
019;EDUCACION
020;EDUCACION FISICA
021;ENFERMERA
022;ESTADISTICA
023;FARMACIA Y BIOQUIMICA
024;FILOSOFIA
025;FISICA
026;FISICO MATEMATICA
027;GEOFISICA
028;GEOGRAFIA
029;GEOLOGIA
030;HISTORIA
031;ING. ADMINISTRATIVA
032;ING. AGRICOLA
033;ING. AGRONOMO
034;ING. AGRO INDUSTRIAL
035;ING. DEL AMBIENTE
036;ING. CIVIL
037;ING. DE COMPUTACION
038;ING. DE CONTROLES IND.
039;ING. ECONOMICA
040;ING. ELECTRICISTA
041;ING. ELECTRONICA
042;ING. DE ENERGIA
043;ING. DE ESTAD. E INFORM.
044;ING. FORESTAL
045;ING. GEOGRAFO
046;ING. GEOLOGICA
047;ING. INDUSTRIAL
048;ING. DE IND. ALIMENTARIAS
049;ING. MECANICA
050;ING. MECANICO ELECTRICISTA
051;ING. DE MECANICA DE FLUIDOS
052;ING. METALURGICA
053;ING. DE MINAS
054;ING. PESQUERA
055;ING. PESQUERA TECNOLOGICA
056;ING. DE PETROLEO
057;ING. PETROQUIMICA
058;ING. QUIMICA
059;ING. SANITARIO
060;ING. DE HIG. Y SEGURIDAD
061;ING. DE SISTEMAS
062;ING. TEXTIL
063;INVESTIGACION OPERATIVA
064;LINGUISTICA
065;LITERATURA
066;MATEMATICAS
067;MEDICINA HUMANA
068;MEDICINA VETERINARIA
069;METEREOLOGIA
070;MICROBIOLOGIA
071;MUSICA
072;NUTRICION
073;OBSTETRICIA
074;OCEANOGRAFIA
075;ODONTOLOGIA
076;QUIMICA
077;RECURSOS NATURALES RENOVABLES
078;RELACIONES INDUSTRIALES
079;PSICOLOGIA
080;SOCIOLOGIA
081;TECNOLOGIA MEDICA
082;TEOLOGIA
083;TRABAJO SOCIAL
084;TRADUCCION E INTERPRETACION
085;TURISMO
086;MEDICINA VETERINARIA Y ZOOTECNISTA
087;CIENCIAS ECONOMICAS Y COMERCIALES
088;SECRETARIA EJECUTIVA
089;TECNOLOGO EN LABORATORIO
090;CIENCIAS ADMINISTRATIVAS
091;ING. ZOOTECNISTA
094;TECNICO EN CONTABILIDAD
095;TECNICO EN COMPUTACION E INFORMATICA
096;QUIMICA FARMACEUTICA
097;CONTABILIDAD
098;CIENCIAS BIOLOGICAS
099;TECNICO EN AGROPECUARIA
100;CIENCIAS ECONOMICAS
102;BACH. AGRONOMIA
104;ADMINISTRACION DE NEGOCIOS (MBA)
105;ASISTENTA SOCIAL
106;PERIODISMO
107;TECNICO EN ABASTECIMIENTO
108;ABASTECEDOR DE COMBUSTIBLE
111;CARPINTERO
112;
115;TECNICO
114;TECNICO EN ADMINISTRACION
117;INGENIERO EN INDUSTRIAS ALIMENTARIAS
121;TECNICO EN REDES Y COMUNICACIONES DE DATOS
144;MAESTRIA EN GERENCIA DE PROYECTOS
146;BACHILLER EN DERECHO
149;BACHILLER EN COMUNICACION SOCIAL
122;ASISTENTE EJECUTIVA
123;ESTUDIANTE
127;SECUNDARIA
134;MAESTRIA GESTION DE ALTA DIRECCION
136;DOCTORADO EN ADMINISTRACION
139;MAESTRIA EN GERENCIA SOCIAL
142;MAESTRIA EN ING. BIOMEDICA
156;TEC. EN INGENIERIA HOSPITALARIA
151;TECNICO EN INGENIERIA
155;TECNICO EN CONSTRUCCION CIVIL
159;PSICOLOGO
167;INGENIERO ADMINISTRATIVO
168;EGRESADO EN ARCHIVISTICA
170;EGRESADO TECNICO EN COMPUTACION E INFORMATICA
171;ESTUDIANTE UNIVERSITARIO DE ECONOMIA
176;ING.AMBIENTAL
177;LICENCIADA EN PERIODISMO
